Delhi - Historical Population Data,,
Year,Population,Growth Rate
2025,34666000,2.54%
2024,33807000,2.63%
2023,32941000,2.73%
2022,32066000,2.84%
2021,31181000,2.94%
2020,30291000,3.03%
2019,29399000,3.10%
2018,28514000,3.30%
2017,27602000,3.30%
2016,26720000,3.30%
2015,25866000,3.30%
2014,25039000,3.30%
