Year, Total Population, Avg Temperature, Built-Up, Vegetation, Pollution, Traffic, Urban Heat Index
1995, 300, 6.740950495682651, 50.07486694216438, 18.983723155271797, 79.47906373044799, 80.42843921559044, -18.25904950431735
1996, 300, 6.740950495682651, 50.07486694216436, 18.983723155271786, 79.4790637304481, 80.4284392155905, -18.25904950431735
1997, 300, 6.740950495682651, 50.07486694216438, 18.983723155271736, 79.4790637304481, 80.42843921559044, -18.25904950431735
1998, 300, 6.740950495682651, 50.07486694216425, 18.98372315527176, 79.47906373044805, 80.42843921559056, -18.25904950431735
1999, 300, 6.740950495682651, 50.07486694216436, 18.983723155271775, 79.4790637304481, 80.42843921559057, -18.25904950431735
2000, 300, 6.740950495682651, 50.074866942164334, 18.98372315527177, 79.47906373044808, 80.42843921559063, -18.25904950431735
2001, 300, 6.740950495682651, 50.074866942164334, 18.983723155271765, 79.47906373044805, 80.4284392155905, -18.25904950431735
2002, 300, 6.740950495682651, 50.0748669421643, 18.983723155271797, 79.47906373044812, 80.4284392155905, -18.25904950431735
2003, 300, 6.740950495682651, 50.07486694216434, 18.983723155271754, 79.4790637304479, 80.4284392155905, -18.25904950431735
2004, 300, 6.740950495682651, 50.07486694216431, 18.98372315527175, 79.47906373044815, 80.4284392155904, -18.25904950431735
2005, 300, 6.740950495682651, 50.07486694216429, 18.98372315527177, 79.47906373044796, 80.42843921559056, -18.25904950431735
2006, 300, 6.740950495682651, 50.0748669421642, 18.983723155271754, 79.47906373044796, 80.42843921559043, -18.25904950431735
2007, 300, 6.740950495682651, 50.0748669421643, 18.983723155271772, 79.47906373044806, 80.42843921559053, -18.25904950431735
2008, 300, 6.740950495682651, 50.074866942164405, 18.98372315527178, 79.47906373044812, 80.42843921559042, -18.25904950431735
2009, 300, 6.740950495682651, 50.074866942164334, 18.983723155271786, 79.47906373044799, 80.42843921559036, -18.25904950431735
2010, 300, 6.740950495682651, 50.07486694216425, 18.983723155271758, 79.47906373044805, 80.42843921559064, -18.25904950431735
2011, 300, 6.740950495682651, 50.07486694216426, 18.983723155271775, 79.47906373044799, 80.42843921559052, -18.25904950431735
2012, 300, 6.740950495682651, 50.0748669421643, 18.98372315527177, 79.47906373044808, 80.4284392155905, -18.25904950431735
2013, 300, 6.740950495682651, 50.074866942164356, 18.98372315527179, 79.47906373044812, 80.4284392155906, -18.25904950431735
2014, 300, 6.740950495682651, 50.07486694216434, 18.98372315527176, 79.47906373044806, 80.42843921559044, -18.25904950431735
2015, 300, 6.740950495682651, 50.07486694216421, 18.98372315527177, 79.47906373044813, 80.42843921559053, -18.25904950431735
2016, 300, 6.740950495682651, 50.074866942164405, 18.983723155271786, 79.47906373044803, 80.42843921559047, -18.25904950431735
2017, 300, 6.740950495682651, 50.07486694216433, 18.98372315527179, 79.4790637304481, 80.42843921559052, -18.25904950431735
2018, 300, 6.740950495682651, 50.07486694216432, 18.983723155271765, 79.4790637304481, 80.42843921559043, -18.25904950431735
2019, 300, 6.740950495682651, 50.07486694216437, 18.98372315527176, 79.4790637304481, 80.42843921559053, -18.25904950431735
2020, 300, 6.740950495682651, 50.07486694216424, 18.98372315527175, 79.47906373044806, 80.42843921559047, -18.25904950431735
2021, 300, 6.740950495682651, 50.07486694216426, 18.98372315527177, 79.47906373044796, 80.42843921559052, -18.25904950431735
2022, 300, 6.740950495682651, 50.074866942164356, 18.983723155271736, 79.47906373044805, 80.42843921559043, -18.25904950431735
2023, 300, 6.740950495682651, 50.07486694216434, 18.98372315527177, 79.47906373044802, 80.42843921559056, -18.25904950431735
2024, 300, 6.740950495682651, 50.07486694216429, 18.983723155271754, 79.47906373044812, 80.42843921559056, -18.25904950431735
