Year, Total Population, Avg Temperature, Built-Up, Vegetation, Pollution, Traffic, Urban Heat Index
1995, 300, 6.756234797985012, 50.89258219324056, 19.448030160154246, 79.68992747073169, 80.03120109282426, -18.243765202014988
1996, 300, 6.756234797985012, 50.89258219324054, 19.44803016015422, 79.68992747073175, 80.0312010928242, -18.243765202014988
1997, 300, 6.756234797985012, 50.89258219324055, 19.44803016015423, 79.68992747073179, 80.03120109282433, -18.243765202014988
1998, 300, 6.756234797985012, 50.89258219324051, 19.448030160154243, 79.68992747073175, 80.03120109282432, -18.243765202014988
1999, 300, 6.756234797985012, 50.89258219324054, 19.448030160154218, 79.68992747073169, 80.03120109282426, -18.243765202014988
2000, 300, 6.756234797985012, 50.89258219324052, 19.44803016015424, 79.6899274707317, 80.03120109282432, -18.243765202014988
2001, 300, 6.756234797985012, 50.89258219324052, 19.448030160154225, 79.68992747073187, 80.03120109282425, -18.243765202014988
2002, 300, 6.756234797985012, 50.89258219324049, 19.44803016015422, 79.68992747073167, 80.03120109282423, -18.243765202014988
2003, 300, 6.756234797985012, 50.89258219324048, 19.448030160154246, 79.68992747073163, 80.03120109282428, -18.243765202014988
2004, 300, 6.756234797985012, 50.89258219324052, 19.4480301601542, 79.68992747073169, 80.0312010928244, -18.243765202014988
2005, 300, 6.756234797985012, 50.89258219324054, 19.448030160154207, 79.68992747073172, 80.03120109282432, -18.243765202014988
2006, 300, 6.756234797985012, 50.892582193240585, 19.448030160154246, 79.68992747073185, 80.03120109282439, -18.243765202014988
2007, 300, 6.756234797985012, 50.89258219324052, 19.448030160154232, 79.68992747073177, 80.03120109282423, -18.243765202014988
2008, 300, 6.756234797985012, 50.892582193240465, 19.448030160154204, 79.68992747073172, 80.03120109282419, -18.243765202014988
2009, 300, 6.756234797985012, 50.89258219324044, 19.44803016015422, 79.68992747073167, 80.03120109282426, -18.243765202014988
2010, 300, 6.756234797985012, 50.89258219324056, 19.44803016015423, 79.6899274707317, 80.03120109282439, -18.243765202014988
2011, 300, 6.756234797985012, 50.89258219324057, 19.44803016015423, 79.68992747073176, 80.0312010928243, -18.243765202014988
2012, 300, 6.756234797985012, 50.89258219324051, 19.448030160154246, 79.68992747073175, 80.0312010928242, -18.243765202014988
2013, 300, 6.756234797985012, 50.89258219324048, 19.448030160154236, 79.68992747073167, 80.03120109282432, -18.243765202014988
2014, 300, 6.756234797985012, 50.89258219324049, 19.44803016015422, 79.68992747073172, 80.03120109282428, -18.243765202014988
2015, 300, 6.756234797985012, 50.89258219324049, 19.44803016015423, 79.6899274707317, 80.03120109282433, -18.243765202014988
2016, 300, 6.756234797985012, 50.89258219324068, 19.448030160154246, 79.68992747073177, 80.03120109282425, -18.243765202014988
2017, 300, 6.756234797985012, 50.89258219324061, 19.44803016015425, 79.68992747073169, 80.03120109282443, -18.243765202014988
2018, 300, 6.756234797985012, 50.89258219324052, 19.44803016015422, 79.6899274707317, 80.0312010928243, -18.243765202014988
2019, 300, 6.756234797985012, 50.89258219324067, 19.44803016015422, 79.68992747073176, 80.0312010928243, -18.243765202014988
2020, 300, 6.756234797985012, 50.89258219324048, 19.44803016015422, 79.6899274707317, 80.03120109282426, -18.243765202014988
2021, 300, 6.756234797985012, 50.892582193240486, 19.448030160154232, 79.68992747073179, 80.0312010928245, -18.243765202014988
2022, 300, 6.756234797985012, 50.892582193240614, 19.44803016015422, 79.68992747073175, 80.03120109282433, -18.243765202014988
2023, 300, 6.756234797985012, 50.89258219324047, 19.44803016015426, 79.68992747073169, 80.03120109282435, -18.243765202014988
2024, 300, 6.756234797985012, 50.89258219324043, 19.448030160154243, 79.6899274707317, 80.03120109282436, -18.243765202014988
