Year, Total Population, Avg Temperature, Built-Up, Vegetation, Pollution, Traffic, Urban Heat Index
1995, 300, 6.589596145611951, 49.356059726419815, 20.120311280738907, 80.06766653270034, 78.10122917647809, -18.41040385438805
1996, 300, 6.589596145611951, 49.35605972641982, 20.120311280738914, 80.06766653270043, 78.10122917647799, -18.41040385438805
1997, 300, 6.589596145611951, 49.356059726419794, 20.120311280738896, 80.0676665327003, 78.10122917647826, -18.41040385438805
1998, 300, 6.589596145611951, 49.35605972641969, 20.12031128073889, 80.06766653270039, 78.10122917647817, -18.41040385438805
1999, 300, 6.589596145611951, 49.356059726419694, 20.12031128073889, 80.06766653270047, 78.10122917647823, -18.41040385438805
2000, 300, 6.589596145611951, 49.35605972641975, 20.120311280738875, 80.0676665327004, 78.10122917647817, -18.41040385438805
2001, 300, 6.589596145611951, 49.356059726419694, 20.12031128073888, 80.06766653270049, 78.10122917647833, -18.41040385438805
2002, 300, 6.589596145611951, 49.3560597264197, 20.12031128073893, 80.06766653270051, 78.101229176478, -18.41040385438805
2003, 300, 6.589596145611951, 49.35605972641975, 20.120311280738893, 80.06766653270041, 78.10122917647817, -18.41040385438805
2004, 300, 6.589596145611951, 49.35605972641981, 20.12031128073888, 80.06766653270049, 78.10122917647828, -18.41040385438805
2005, 300, 6.589596145611951, 49.356059726419886, 20.12031128073889, 80.06766653270049, 78.1012291764783, -18.41040385438805
2006, 300, 6.589596145611951, 49.35605972641982, 20.1203112807389, 80.06766653270051, 78.1012291764782, -18.41040385438805
2007, 300, 6.589596145611951, 49.35605972641976, 20.12031128073889, 80.06766653270056, 78.10122917647807, -18.41040385438805
2008, 300, 6.589596145611951, 49.356059726419815, 20.120311280738886, 80.06766653270046, 78.10122917647813, -18.41040385438805
2009, 300, 6.589596145611951, 49.35605972641989, 20.12031128073891, 80.06766653270057, 78.10122917647814, -18.41040385438805
2010, 300, 6.589596145611951, 49.35605972641982, 20.1203112807389, 80.06766653270054, 78.10122917647806, -18.41040385438805
2011, 300, 6.589596145611951, 49.35605972641982, 20.120311280738893, 80.06766653270031, 78.10122917647817, -18.41040385438805
2012, 300, 6.589596145611951, 49.35605972641987, 20.1203112807389, 80.06766653270043, 78.10122917647814, -18.41040385438805
2013, 300, 6.589596145611951, 49.356059726419794, 20.120311280738907, 80.06766653270051, 78.10122917647816, -18.41040385438805
2014, 300, 6.589596145611951, 49.35605972641972, 20.120311280738875, 80.06766653270049, 78.10122917647809, -18.41040385438805
2015, 300, 6.589596145611951, 49.356059726419794, 20.120311280738886, 80.06766653270046, 78.10122917647824, -18.41040385438805
2016, 300, 6.589596145611951, 49.356059726419765, 20.120311280738907, 80.06766653270039, 78.10122917647813, -18.41040385438805
2017, 300, 6.589596145611951, 49.35605972641972, 20.12031128073891, 80.06766653270049, 78.10122917647813, -18.41040385438805
2018, 300, 6.589596145611951, 49.35605972641978, 20.120311280738914, 80.0676665327004, 78.10122917647823, -18.41040385438805
2019, 300, 6.589596145611951, 49.3560597264199, 20.12031128073887, 80.06766653270051, 78.1012291764782, -18.41040385438805
2020, 300, 6.589596145611951, 49.35605972641978, 20.120311280738868, 80.06766653270047, 78.10122917647823, -18.41040385438805
2021, 300, 6.589596145611951, 49.35605972641985, 20.120311280738875, 80.06766653270041, 78.10122917647817, -18.41040385438805
2022, 300, 6.589596145611951, 49.35605972641973, 20.1203112807389, 80.06766653270037, 78.1012291764782, -18.41040385438805
2023, 300, 6.589596145611951, 49.356059726419765, 20.12031128073888, 80.06766653270046, 78.10122917647814, -18.41040385438805
2024, 300, 6.589596145611951, 49.35605972641976, 20.120311280738875, 80.06766653270037, 78.10122917647804, -18.41040385438805
